date,email,type,amount,balance,category,details
2024-05-01,customer1@mail.com,credit,10.0,440.0,internet & TV,Mccoy PLC
2024-05-01,customer1@mail.com,credit,25.0,415.0,education,Hayden Ltd
2024-05-03,customer1@mail.com,credit,36.0,379.0,culture,Mcintosh-Stanley
2024-05-06,customer1@mail.com,credit,43.0,336.0,fuel,"Morrison, Smith and Brown"
2024-05-07,customer1@mail.com,credit,23.0,313.0,internet & TV,Mosley-Waters
2024-05-08,customer1@mail.com,credit,52.0,261.0,online gambling,Casino 777
2024-05-10,customer1@mail.com,deposit,1500.0,1761.0,salary,Campbell&Co
2024-05-10,customer1@mail.com,credit,3.0,1758.0,public transport,Snow-Stewart
2024-05-10,customer1@mail.com,credit,11.0,1747.0,taxi,Hernandez Group
2024-05-10,customer1@mail.com,credit,36.0,1711.0,medicine,Frazier-Morris
2024-05-10,customer1@mail.com,credit,47.0,1664.0,education,Robbins and Sons
2024-05-10,customer1@mail.com,credit,2.0,1662.0,public transport,Schmitt-Floyd
2024-05-11,customer1@mail.com,credit,62.0,1600.0,medicine,"Garcia, Bryant and Smith"
2024-05-11,customer1@mail.com,credit,18.0,1582.0,other,"Jones, Nelson and Hampton"
2024-05-11,customer1@mail.com,credit,17.0,1565.0,other,Vasquez-Barnes
2024-05-11,customer1@mail.com,credit,2.0,1563.0,public transport,Lewis PLC
2024-05-11,customer1@mail.com,credit,23.0,1540.0,other,Lutz and Sons
2024-05-12,customer1@mail.com,credit,18.0,1522.0,other,"Thompson, Rosales and Hernandez"
2024-05-12,customer1@mail.com,credit,2.0,1520.0,public transport,Kim-Scott
2024-05-12,customer1@mail.com,credit,129.0,1391.0,insurance,Benitez and Sons
2024-05-12,customer1@mail.com,credit,17.0,1374.0,entertainment,"Franklin, Martinez and Sullivan"
2024-05-12,customer1@mail.com,credit,28.0,1346.0,medicine,"Cohen, Wilson and Wilson"
2024-05-13,customer1@mail.com,credit,70.0,1276.0,children education,Chavez-Spencer
2024-05-13,customer1@mail.com,credit,18.0,1258.0,education,Robinson-Delgado
2024-05-13,customer1@mail.com,credit,52.0,1206.0,medicine,"Skinner, Jones and Brown"
2024-05-13,customer1@mail.com,credit,37.0,1169.0,culture,Martin-Wyatt
