date,email,type,amount,balance,category,details
2024-05-01,customer2@mail.com,credit,32.0,568.0,internet & TV,"Bennett, Welch and Lawson"
2024-05-01,customer2@mail.com,credit,67.0,501.0,restaurants,Cox-Francis
2024-05-01,customer2@mail.com,credit,35.0,466.0,household,Hopkins Group
2024-05-01,customer2@mail.com,credit,72.0,394.0,education,Browning and Sons
2024-05-01,customer2@mail.com,credit,56.0,338.0,insurance,"Garcia, Alvarez and Hobbs"
2024-05-02,customer2@mail.com,credit,5.0,333.0,entertainment,Mcdaniel LLC
2024-05-05,customer2@mail.com,deposit,1500.0,1833.0,salary,Solar
2024-05-05,customer2@mail.com,credit,87.0,1746.0,insurance,Duncan PLC
2024-05-05,customer2@mail.com,credit,243.0,1503.0,car maintenance,Martinez PLC
2024-05-05,customer2@mail.com,credit,51.0,1452.0,groceries,Stevens-Anderson
2024-05-05,customer2@mail.com,credit,80.0,1372.0,education,Mclaughlin and Sons
2024-05-05,customer2@mail.com,credit,17.0,1355.0,fuel,"Vang, Castaneda and Liu"
2024-05-06,customer2@mail.com,credit,68.0,1287.0,medicine,"Holden, Harrington and Ford"
2024-05-06,customer2@mail.com,credit,32.0,1255.0,education,"Lewis, Bryan and Johnson"
2024-05-06,customer2@mail.com,credit,16.0,1239.0,internet & TV,"Watts, Hernandez and Jimenez"
2024-05-06,customer2@mail.com,credit,34.0,1205.0,culture,French-Cooper
2024-05-06,customer2@mail.com,credit,134.0,1071.0,communal services,Day PLC
2024-05-07,customer2@mail.com,credit,12.0,1059.0,taxi,Ward LLC
2024-05-07,customer2@mail.com,credit,11.0,1048.0,taxi,Bell Inc
2024-05-07,customer2@mail.com,credit,22.0,1026.0,internet & TV,Myers-Rodriguez
2024-05-07,customer2@mail.com,credit,2.0,1024.0,public transport,Hale-Potter
2024-05-07,customer2@mail.com,credit,40.0,984.0,fuel,Whitehead Inc
2024-05-08,customer2@mail.com,credit,11.0,973.0,mobile phone,"Beck, Santos and Scott"
2024-05-08,customer2@mail.com,credit,21.0,952.0,fuel,Johnson PLC
2024-05-08,customer2@mail.com,credit,42.0,910.0,groceries,Strong-Johnson
2024-05-08,customer2@mail.com,credit,36.0,874.0,household,Allen Group
2024-05-08,customer2@mail.com,credit,111.0,763.0,insurance,Mitchell-Lopez
2024-05-09,customer2@mail.com,credit,18.0,745.0,mobile phone,Garcia-Nelson
2024-05-09,customer2@mail.com,credit,8.0,737.0,culture,Valdez-Todd
2024-05-09,customer2@mail.com,credit,96.0,641.0,restaurants,"Miller, Moore and Larsen"
2024-05-09,customer2@mail.com,credit,34.0,607.0,culture,"Rhodes, Smith and Estrada"
2024-05-09,customer2@mail.com,credit,27.0,580.0,other,"Barber, Garcia and Castro"
2024-05-10,customer2@mail.com,credit,48.0,532.0,household,"Hart, Bautista and Reed"
2024-05-10,customer2@mail.com,credit,70.0,462.0,restaurants,Dennis Ltd
2024-05-10,customer2@mail.com,credit,19.0,443.0,education,"Blackburn, Rice and Stevenson"
2024-05-11,customer2@mail.com,credit,47.0,396.0,restaurants,Schmidt-Carroll
2024-05-11,customer2@mail.com,credit,144.0,252.0,insurance,Davidson Ltd
2024-05-20,customer2@mail.com,deposit,2000.0,2252.0,salary,Solar
2024-05-20,customer2@mail.com,credit,550.0,1702.0,apartment rent,Douglas Simon
2024-05-20,customer2@mail.com,credit,12.0,1690.0,taxi,"Carter, Becker and Gordon"
2024-05-20,customer2@mail.com,credit,2.0,1688.0,other,Hardin and Sons
2024-05-20,customer2@mail.com,credit,15.0,1673.0,internet & TV,Hansen-Adams
2024-05-20,customer2@mail.com,credit,99.0,1574.0,insurance,"Howard, West and Johnson"
2024-05-20,customer2@mail.com,credit,13.0,1561.0,entertainment,"Morgan, Schmidt and Willis"
2024-05-21,customer2@mail.com,credit,60.0,1501.0,medicine,Lopez-Green
2024-05-21,customer2@mail.com,credit,21.0,1480.0,other,Gregory-Oneal
2024-05-21,customer2@mail.com,credit,48.0,1432.0,household,Miller-Gamble
2024-05-21,customer2@mail.com,credit,19.0,1413.0,internet & TV,"Wilson, Martin and Wood"
2024-05-21,customer2@mail.com,credit,48.0,1365.0,children education,Jones-Quinn
2024-05-22,customer2@mail.com,credit,39.0,1326.0,fuel,"Turner, Cisneros and Phillips"
2024-05-22,customer2@mail.com,credit,32.0,1294.0,internet & TV,"Burnett, Swanson and Robertson"
2024-05-22,customer2@mail.com,credit,7.0,1287.0,culture,"Ford, Garcia and Crane"
2024-05-22,customer2@mail.com,credit,58.0,1229.0,car maintenance,"Smith, Gibson and Hart"
2024-05-22,customer2@mail.com,credit,37.0,1192.0,education,Jackson-Greene
2024-05-23,customer2@mail.com,credit,31.0,1161.0,household,Gallagher Ltd
2024-05-23,customer2@mail.com,credit,40.0,1121.0,communal services,Hooper LLC
2024-05-23,customer2@mail.com,credit,37.0,1084.0,culture,Montgomery-Pittman
2024-05-23,customer2@mail.com,credit,73.0,1011.0,children education,Mcdonald-Young
2024-05-23,customer2@mail.com,credit,25.0,986.0,internet & TV,Wells-Young
2024-05-24,customer2@mail.com,credit,11.0,975.0,taxi,Wright-Johnson
2024-05-24,customer2@mail.com,credit,33.0,942.0,mobile phone,Browning Inc
2024-05-24,customer2@mail.com,credit,3.0,939.0,public transport,"Williams, Aguirre and Robertson"
2024-05-24,customer2@mail.com,credit,10.0,929.0,fuel,Harrington-King
2024-05-24,customer2@mail.com,credit,15.0,914.0,mobile phone,Mitchell-Anthony
2024-05-25,customer2@mail.com,credit,42.0,872.0,children education,Francis-Schultz
2024-05-25,customer2@mail.com,credit,19.0,853.0,household,Galvan PLC
2024-05-25,customer2@mail.com,credit,23.0,830.0,fuel,Hughes-Page
2024-05-25,customer2@mail.com,credit,32.0,798.0,fuel,Jones Inc
2024-05-25,customer2@mail.com,credit,9.0,789.0,taxi,"Reed, Scott and Smith"
2024-05-26,customer2@mail.com,credit,25.0,764.0,internet & TV,"Hodge, Chapman and Cole"
2024-05-26,customer2@mail.com,credit,2.0,762.0,public transport,"Woodard, Horton and Hill"
2024-05-26,customer2@mail.com,credit,70.0,692.0,education,"Warren, Jenkins and Fisher"
2024-05-26,customer2@mail.com,credit,2.0,690.0,public transport,Lynch-Fleming
