date,email,type,amount,balance,category,details
2024-05-01,customer4@mail.com,credit,13.14,436.86,taxi,Anderson and Sons
2024-05-01,customer4@mail.com,credit,175.52,261.34,car maintenance,Horton-Parker
2024-05-10,customer4@mail.com,deposit,1500.0,1761.34,salary,Campbell&Co
2024-05-10,customer4@mail.com,credit,49.35,1711.99,household,Cochran Ltd
2024-05-10,customer4@mail.com,credit,113.82,1598.17,car maintenance,"Cook, Johnson and Schmidt"
2024-05-10,customer4@mail.com,credit,80.05,1518.12,children education,Morgan-Gross
2024-05-10,customer4@mail.com,credit,14.37,1503.75,other,"Nolan, Allen and Perkins"
2024-05-10,customer4@mail.com,credit,109.41,1394.34,restaurants,"Walter, Carrillo and Lucas"
2024-05-11,customer4@mail.com,credit,137.22,1257.12,insurance,Walker-Rogers
2024-05-11,customer4@mail.com,credit,11.06,1246.06,other,Forbes LLC
2024-05-11,customer4@mail.com,credit,2.14,1243.92,public transport,Fisher LLC
2024-05-11,customer4@mail.com,credit,50.37,1193.55,communal services,Howard LLC
2024-05-11,customer4@mail.com,credit,47.38,1146.17,children education,"Hooper, Guzman and Mueller"
2024-05-12,customer4@mail.com,credit,25.37,1120.8,groceries,"Lane, Edwards and Daniels"
2024-05-12,customer4@mail.com,credit,34.52,1086.28,services,"Wright, Thomas and Nielsen"
2024-05-12,customer4@mail.com,credit,87.83,998.45,insurance,Martinez-Bender
2024-05-12,customer4@mail.com,credit,18.75,979.7,mobile phone,"Black, Gregory and Brown"
2024-05-12,customer4@mail.com,credit,110.34,869.36,communal services,"Ashley, Brooks and Mcconnell"
2024-05-13,customer4@mail.com,credit,141.63,727.73,insurance,Riley-Murphy
2024-05-13,customer4@mail.com,credit,24.58,703.15,internet & TV,"Hinton, Moore and Clark"
2024-05-13,customer4@mail.com,credit,35.39,667.76,services,Harris Ltd
2024-05-13,customer4@mail.com,credit,47.75,620.01,household,Simon Group
2024-05-13,customer4@mail.com,credit,59.2,560.81,education,Galloway and Sons
2024-05-14,customer4@mail.com,credit,19.39,541.42,internet & TV,Brown Group
2024-05-14,customer4@mail.com,credit,36.46,504.96,communal services,"Brown, Hernandez and Briggs"
2024-05-14,customer4@mail.com,credit,29.85,475.11,groceries,"Morales, Glover and Scott"
2024-05-14,customer4@mail.com,credit,34.15,440.96,mobile phone,Scott-Jenkins
2024-05-15,customer4@mail.com,credit,17.03,423.93,online bookmaker,1xBet
2024-05-15,customer4@mail.com,credit,33.36,390.57,entertainment,Vasquez and Sons
2024-05-15,customer4@mail.com,credit,118.48,272.09,communal services,"Bean, Martinez and Wheeler"
2024-05-25,customer4@mail.com,deposit,2000.0,2272.09,salary,Campbell&Co
2024-05-25,customer4@mail.com,credit,600.0,1672.0900000000001,apartment rent,Carlos Cooper
2024-05-25,customer4@mail.com,credit,50.01,1622.08,restaurants,Chang Inc
2024-05-25,customer4@mail.com,credit,102.35,1519.73,communal services,Meyer PLC
2024-05-25,customer4@mail.com,credit,2.78,1516.95,public transport,Gray-Mcdonald
2024-05-25,customer4@mail.com,credit,48.6,1468.35,children education,"Kennedy, Riddle and House"
2024-05-25,customer4@mail.com,credit,24.93,1443.42,culture,Lawson-Nelson
2024-05-26,customer4@mail.com,credit,49.67,1393.75,communal services,Thomas Ltd
2024-05-26,customer4@mail.com,credit,23.36,1370.39,services,"Gonzalez, Garcia and Newman"
2024-05-26,customer4@mail.com,credit,83.29,1287.1,education,Taylor-Ross
2024-05-26,customer4@mail.com,credit,42.3,1244.8,fuel,Bryant Group
2024-05-26,customer4@mail.com,credit,21.93,1222.87,medicine,Clark and Sons
2024-05-27,customer4@mail.com,credit,99.75,1123.12,education,Stone-Davis
2024-05-27,customer4@mail.com,credit,41.88,1081.24,communal services,"Guzman, Garcia and Fletcher"
2024-05-27,customer4@mail.com,credit,94.9,986.34,education,Pierce Group
2024-05-27,customer4@mail.com,credit,152.62,833.72,insurance,White-Curry
2024-05-27,customer4@mail.com,credit,23.08,810.64,fuel,"Carey, Wilson and Rodriguez"
2024-05-28,customer4@mail.com,credit,33.21,777.43,online bookmaker,1xBet
