date,email,type,amount,balance,category,details
2024-05-01,customer6@mail.com,credit,44.52,755.48,restaurants,"Jones, Gonzalez and Nelson"
2024-05-01,customer6@mail.com,credit,2.7,752.78,public transport,Munoz-Cox
2024-05-01,customer6@mail.com,credit,50.12,702.66,mobile phone,"Jackson, Reyes and Fleming"
2024-05-01,customer6@mail.com,credit,29.72,672.94,mobile phone,Boyd-Rivera
2024-05-01,customer6@mail.com,credit,92.23,580.71,communal services,"Coleman, Fernandez and Oliver"
2024-05-02,customer6@mail.com,credit,78.15,502.56,insurance,Reynolds-Cabrera
2024-05-02,customer6@mail.com,credit,7.87,494.69,other,Lynch-Peterson
2024-05-02,customer6@mail.com,credit,5.69,489.0,household,"Hoover, Rhodes and Johnson"
2024-05-02,customer6@mail.com,credit,108.88,380.12,insurance,Morris and Sons
2024-05-03,customer6@mail.com,credit,34.5,345.62,culture,Rivera Ltd
2024-05-03,customer6@mail.com,credit,29.35,316.27,mobile phone,"Faulkner, Taylor and Lam"
2024-05-07,customer6@mail.com,deposit,1500.0,1816.27,salary,NewEra
2024-05-07,customer6@mail.com,credit,47.89,1768.38,mobile phone,Bryant-Baker
2024-05-07,customer6@mail.com,credit,29.57,1738.81,services,Webb and Sons
2024-05-07,customer6@mail.com,credit,40.27,1698.54,groceries,Travis and Sons
2024-05-07,customer6@mail.com,credit,38.23,1660.31,mobile phone,"Maxwell, Wong and Garza"
2024-05-07,customer6@mail.com,credit,5.62,1654.69,entertainment,Kirby-Leonard
2024-05-08,customer6@mail.com,credit,7.03,1647.66,taxi,Ruiz Ltd
2024-05-08,customer6@mail.com,credit,3.3,1644.36,public transport,Yang PLC
2024-05-08,customer6@mail.com,credit,24.0,1620.36,entertainment,Santos PLC
2024-05-08,customer6@mail.com,credit,26.24,1594.12,entertainment,"Ramos, Weber and Smith"
2024-05-08,customer6@mail.com,credit,39.42,1554.7,groceries,Bailey-Richardson
2024-05-09,customer6@mail.com,credit,1.98,1552.72,public transport,Miller-Hernandez
2024-05-09,customer6@mail.com,credit,69.34,1483.38,communal services,Roberts-Moore
2024-05-09,customer6@mail.com,credit,20.89,1462.49,internet & TV,"Coffey, Fitzpatrick and Roberson"
2024-05-09,customer6@mail.com,credit,9.8,1452.69,taxi,Waters Ltd
2024-05-09,customer6@mail.com,credit,21.15,1431.54,household,Sanders and Sons
2024-05-10,customer6@mail.com,credit,59.3,1372.24,education,Little Inc
2024-05-10,customer6@mail.com,credit,65.16,1307.08,education,Simmons-Davis
2024-05-10,customer6@mail.com,credit,52.13,1254.95,children education,Herrera-Chandler
2024-05-10,customer6@mail.com,credit,67.99,1186.96,children education,Hoffman-Lloyd
2024-05-10,customer6@mail.com,credit,43.2,1143.76,restaurants,"Booker, Adams and Humphrey"
2024-05-11,customer6@mail.com,credit,14.87,1128.89,fuel,Allen-Smith
2024-05-11,customer6@mail.com,credit,65.52,1063.37,children education,Powell Ltd
2024-05-11,customer6@mail.com,credit,83.99,979.38,education,Burgess-Frazier
2024-05-11,customer6@mail.com,credit,3.25,976.13,public transport,Blair PLC
2024-05-11,customer6@mail.com,credit,82.91,893.22,restaurants,"Calhoun, Jackson and Blackburn"
2024-05-12,customer6@mail.com,credit,18.97,874.25,mobile phone,Hill-Rubio
2024-05-12,customer6@mail.com,credit,13.08,861.17,entertainment,Fuentes-Rogers
2024-05-12,customer6@mail.com,credit,43.27,817.9,mobile phone,"Dennis, Lawrence and Miller"
2024-05-12,customer6@mail.com,credit,45.04,772.86,medicine,"Bright, Reese and Walker"
2024-05-12,customer6@mail.com,credit,15.42,757.44,other,Reeves-Rivera
2024-05-13,customer6@mail.com,credit,48.19,709.25,mobile phone,"Harrington, Frazier and Cohen"
2024-05-13,customer6@mail.com,credit,2.45,706.8,public transport,"Smith, Walton and Cook"
2024-05-13,customer6@mail.com,credit,62.9,643.9,children education,Smith and Sons
2024-05-13,customer6@mail.com,credit,95.48,548.42,education,"Martin, West and Mercado"
2024-05-13,customer6@mail.com,credit,34.96,513.46,entertainment,Jones Inc
2024-05-14,customer6@mail.com,credit,33.82,479.64,education,"Johnson, Williams and Murphy"
2024-05-14,customer6@mail.com,credit,124.79,354.85,restaurants,"Simpson, Vazquez and Thomas"
2024-05-15,customer6@mail.com,credit,13.41,341.44,other,Strickland-Jones
2024-05-15,customer6@mail.com,credit,54.77,286.67,children education,"Church, Martinez and Ramirez"
2024-05-22,customer6@mail.com,deposit,2000.0,2286.67,salary,NewEra
2024-05-22,customer6@mail.com,credit,700.0,1586.67,apartment rent,Anna Williams
2024-05-22,customer6@mail.com,credit,65.72,1520.95,children education,Thompson LLC
2024-05-22,customer6@mail.com,credit,47.11,1473.84,groceries,Wade-Allen
2024-05-22,customer6@mail.com,credit,94.37,1379.47,education,"Martin, Tyler and Roberson"
2024-05-22,customer6@mail.com,credit,7.52,1371.95,culture,Snow-Curry
2024-05-22,customer6@mail.com,credit,77.02,1294.93,education,Donaldson-Wells
2024-05-23,customer6@mail.com,credit,234.74,1060.19,car maintenance,Good and Sons
2024-05-23,customer6@mail.com,credit,65.25,994.94,groceries,Bailey LLC
2024-05-23,customer6@mail.com,credit,74.31,920.63,restaurants,Clark Group
2024-05-23,customer6@mail.com,credit,74.76,845.87,restaurants,"Smith, Warren and Howard"
2024-05-23,customer6@mail.com,credit,46.12,799.75,mobile phone,Taylor Inc
2024-06-01,customer6@mail.com,credit,11.54,788.21,mobile phone,"Smith, Martinez and Murray"
2024-06-01,customer6@mail.com,credit,44.83,743.38,fuel,Garcia-Reed
2024-06-01,customer6@mail.com,credit,34.92,708.46,mobile phone,"Campbell, Brown and Wilson"
2024-06-01,customer6@mail.com,credit,16.27,692.19,other,Brown Ltd
2024-06-01,customer6@mail.com,credit,42.34,649.85,communal services,Smith Ltd
2024-06-02,customer6@mail.com,credit,3.25,646.6,other,"Key, Hernandez and Grimes"
2024-06-02,customer6@mail.com,credit,37.28,609.32,mobile phone,Barry Group
2024-06-02,customer6@mail.com,credit,3.43,605.89,public transport,Miller PLC
2024-06-02,customer6@mail.com,credit,32.74,573.15,services,Scott-King
2024-06-02,customer6@mail.com,credit,40.88,532.27,services,Thomas LLC
2024-06-03,customer6@mail.com,credit,99.18,433.09,education,"Santiago, Hull and Marshall"
2024-06-03,customer6@mail.com,credit,28.98,404.11,other,Warren-Medina
2024-06-04,customer6@mail.com,credit,16.91,387.2,fuel,"Lawrence, Johnson and Henderson"
2024-06-04,customer6@mail.com,credit,2.3,384.9,public transport,"Castro, Pittman and Austin"
2024-06-04,customer6@mail.com,credit,11.68,373.22,taxi,Stein Ltd
2024-06-07,customer6@mail.com,deposit,1500.0,1873.22,salary,NewEra
2024-06-07,customer6@mail.com,credit,13.8,1859.42,other,"Garcia, Taylor and Smith"
2024-06-07,customer6@mail.com,credit,69.95,1789.47,restaurants,Russell-Whitaker
2024-06-07,customer6@mail.com,credit,56.56,1732.91,medicine,Williams-Sims
2024-06-07,customer6@mail.com,credit,10.75,1722.16,taxi,Brown-Myers
2024-06-07,customer6@mail.com,credit,103.68,1618.48,education,Mclean PLC
2024-06-08,customer6@mail.com,credit,51.4,1567.08,services,"Holt, Duncan and Nash"
2024-06-08,customer6@mail.com,credit,81.38,1485.7,children education,Leonard-Reyes
2024-06-08,customer6@mail.com,credit,245.39,1240.31,car maintenance,Moore Ltd
2024-06-08,customer6@mail.com,credit,20.31,1220.0,fuel,Chang-King
2024-06-08,customer6@mail.com,credit,50.49,1169.51,mobile phone,Jones-Massey
2024-06-09,customer6@mail.com,credit,73.69,1095.82,restaurants,Stevens-Mcpherson
2024-06-09,customer6@mail.com,credit,61.02,1034.8,groceries,Hernandez Inc
2024-06-09,customer6@mail.com,credit,43.68,991.12,services,Lopez-Bennett
2024-06-09,customer6@mail.com,credit,43.08,948.04,services,Davis-Maldonado
2024-06-09,customer6@mail.com,credit,66.46,881.58,groceries,Gregory-Doyle
2024-06-10,customer6@mail.com,credit,53.13,828.45,education,Hanna-Howard
2024-06-10,customer6@mail.com,credit,61.39,767.06,restaurants,Graham Ltd
2024-06-10,customer6@mail.com,credit,25.77,741.29,internet & TV,"Schneider, Roth and Watts"
2024-06-10,customer6@mail.com,credit,58.9,682.39,medicine,Haas PLC
2024-06-10,customer6@mail.com,credit,35.07,647.32,culture,Garcia-Ferguson
2024-06-11,customer6@mail.com,credit,39.13,608.19,services,Fisher-Thornton
2024-06-11,customer6@mail.com,credit,53.21,554.98,children education,Smith-Simpson
2024-06-11,customer6@mail.com,credit,9.35,545.63,taxi,White-Fernandez
2024-06-11,customer6@mail.com,credit,232.58,313.05,car maintenance,"Ramirez, Wilkinson and Mahoney"
2024-06-22,customer6@mail.com,deposit,2000.0,2313.05,salary,NewEra
2024-06-22,customer6@mail.com,credit,700.0,1613.0500000000002,apartment rent,Lindsey Stewart
2024-06-22,customer6@mail.com,credit,13.29,1599.76,fuel,Williams-Robinson
2024-06-22,customer6@mail.com,credit,61.52,1538.24,groceries,Ross Inc
2024-06-22,customer6@mail.com,credit,209.93,1328.31,car maintenance,Martinez PLC
2024-06-22,customer6@mail.com,credit,26.2,1302.11,internet & TV,Huang Ltd
2024-06-22,customer6@mail.com,credit,33.0,1269.11,services,Durham-Turner
2024-06-23,customer6@mail.com,credit,10.49,1258.62,entertainment,"Cain, Austin and Shannon"
2024-06-23,customer6@mail.com,credit,3.49,1255.13,public transport,Richards-Booth
2024-06-23,customer6@mail.com,credit,64.74,1190.39,restaurants,Jones-Singleton
2024-06-23,customer6@mail.com,credit,61.08,1129.31,insurance,Ortega Inc
2024-06-23,customer6@mail.com,credit,47.92,1081.39,restaurants,Powell-Villegas
2024-06-24,customer6@mail.com,credit,77.45,1003.94,children education,Hampton LLC
2024-06-24,customer6@mail.com,credit,62.35,941.59,children education,Harris Group
2024-06-24,customer6@mail.com,credit,76.61,864.98,children education,"Obrien, Fuller and Brady"
2024-06-24,customer6@mail.com,credit,78.28,786.7,insurance,Hamilton-Wolfe
